shipment_id,customer_name,origin_city,destination_city,service_type,weight_kg,shipment_date,delivery_date,cost_inr,status
SHP00029,CORE Diagnostics,Pune,Gurugram,NFO,2.17,2026-03-02,2026-03-06,192.27,Delivered
SHP00030,CryoViva India,Ahmedabad,Chandigarh,HC GOLD,10.77,2026-05-30,2026-06-08,1465.16,Delayed
SHP00031,Healthians,Mumbai,Lucknow,NFO,10.2,2026-06-21,2026-06-24,943.27,Delivered
SHP00032,Oncquest Labs,Gurugram,Delhi,HC GOLD,14.29,2026-01-26,2026-01-30,1760.19,Delayed
SHP00033,Tata 1mg,Noida,Kolkata,HC SILVER,9.55,2026-02-10,,939.73,In Transit
SHP00034,Pathkind Labs,Bengaluru,Chandigarh,NFO,20.52,2026-03-18,2026-03-19,1957.74,Delivered
SHP00035,CORE Diagnostics,Lucknow,Pune,NFO,15.32,2026-03-29,2026-04-04,1336.52,Delayed
SHP00036,Tata 1mg,Bengaluru,Delhi,HC GOLD,20.82,2026-01-12,2026-01-13,2646.5,Delivered
SHP00037,Oncquest Labs,Bengaluru,Noida,HC GOLD,10.98,2026-01-03,2026-01-04,1413.46,Delivered
SHP00038,CryoViva India,Noida,Ahmedabad,HC SILVER,14.77,2026-02-07,2026-02-13,1578.19,Delivered
SHP00039,Redcliffe Labs,Delhi,Kolkata,HC GOLD,16.84,2026-04-01,,2024.02,In Transit
SHP00040,Redcliffe Labs,Ahmedabad,Noida,HC SILVER,24.42,2026-02-15,2026-02-21,2541.67,Delivered
SHP00041,Redcliffe Labs,Kolkata,Lucknow,NFO,19.79,2026-01-28,,1530.22,In Transit
SHP00042,Redcliffe Labs,Hyderabad,Mumbai,HC SILVER,11.78,2026-03-20,2026-03-23,1118.67,Delivered
SHP00043,Metropolis Healthcare,Bengaluru,Gurugram,NFO,12.98,2026-06-23,2026-06-28,1024.78,Delivered
SHP00044,Dr Lal PathLabs,Bengaluru,Noida,HC SILVER,7.0,2026-01-28,2026-02-02,729.24,Delivered
SHP00045,Pathkind Labs,Kolkata,Chandigarh,NFO,22.54,2026-02-18,2026-02-21,1725.12,Delivered
SHP00046,Redcliffe Labs,Pune,Lucknow,NFO,2.21,2026-06-20,2026-06-27,200.22,Delayed
SHP00047,Pathkind Labs,Gurugram,Chennai,NFO,10.51,2026-04-14,2026-04-20,846.86,Delayed
SHP00048,CORE Diagnostics,Chandigarh,Kolkata,HC GOLD,7.87,2026-05-21,2026-05-22,951.46,Delivered
SHP00049,Healthians,Ahmedabad,Chandigarh,NFO,11.33,2026-02-24,2026-03-01,1097.84,Delivered
SHP00050,Tata 1mg,Lucknow,Noida,NFO,16.76,2026-06-08,2026-06-11,1549.66,Delivered
SHP00051,Redcliffe Labs,Chandigarh,Bengaluru,HC SILVER,4.11,2026-01-12,2026-01-14,426.42,Delivered
SHP00052,Dr Lal PathLabs,Hyderabad,Kolkata,NFO,17.56,2026-05-07,2026-05-14,1345.41,Delivered
SHP00053,Redcliffe Labs,Gurugram,Hyderabad,NFO,23.97,2026-05-13,2026-05-17,2301.03,Delivered
SHP00054,CORE Diagnostics,Gurugram,Pune,HC SILVER,16.86,2026-05-24,2026-05-29,1798.48,Delivered
SHP00055,Suraksha Diagnostics,Ahmedabad,Pune,HC SILVER,13.92,2026-02-10,2026-02-14,1271.9,Delivered
SHP00056,Pathkind Labs,Chandigarh,Bengaluru,NFO,6.36,2026-04-23,2026-04-28,518.23,Delayed
SHP00057,Pathkind Labs,Chennai,Kolkata,NFO,4.2,2026-04-09,2026-04-14,327.03,Delayed
SHP00058,Pathkind Labs,Kolkata,Chennai,NFO,2.03,2026-04-18,,180.49,In Transit
SHP00059,Dr Lal PathLabs,Lucknow,Delhi,NFO,0.64,2026-04-01,,54.26,In Transit
SHP00060,Pathkind Labs,Kolkata,Ahmedabad,HC GOLD,22.5,2026-05-05,2026-05-07,2449.59,Delivered
SHP00061,Suraksha Diagnostics,Chennai,Lucknow,HC GOLD,21.09,2026-02-02,2026-02-09,2851.53,Delayed
SHP00062,CryoViva India,Ahmedabad,Chandigarh,NFO,11.0,2026-04-29,2026-05-01,918.02,Delivered
SHP00063,Healthians,Hyderabad,Chennai,HC GOLD,9.79,2026-04-18,,1081.38,In Transit
SHP00064,CryoViva India,Delhi,Ahmedabad,HC SILVER,9.07,2026-06-16,,981.7,In Transit
SHP00065,Redcliffe Labs,Delhi,Gurugram,NFO,1.0,2026-02-09,2026-02-11,78.93,Delivered
SHP00066,Metropolis Healthcare,Mumbai,Pune,HC GOLD,4.61,2026-06-05,,611.19,In Transit
SHP00067,Dr Lal PathLabs,Bengaluru,Gurugram,NFO,8.14,2026-06-23,2026-06-27,657.02,Delivered
SHP00068,Redcliffe Labs,Ahmedabad,Lucknow,NFO,19.43,2026-06-25,,1536.38,In Transit
SHP00069,Healthians,Ahmedabad,Delhi,HC GOLD,16.71,2026-01-18,2026-01-27,1811.02,Delayed
SHP00070,Tata 1mg,Kolkata,Pune,NFO,9.37,2026-04-28,2026-05-03,909.04,Delivered
SHP00071,Pathkind Labs,Bengaluru,Chandigarh,HC GOLD,11.89,2026-06-01,2026-06-04,1580.44,Delivered
SHP00072,Oncquest Labs,Gurugram,Chennai,NFO,11.89,2026-06-06,2026-06-12,955.53,Delivered
SHP00073,Metropolis Healthcare,Mumbai,Kolkata,NFO,22.07,2026-06-29,2026-07-04,1930.65,Delayed
SHP00074,Redcliffe Labs,Mumbai,Gurugram,HC GOLD,12.47,2026-03-03,2026-03-12,1514.42,Delayed
SHP00075,Metropolis Healthcare,Delhi,Noida,NFO,17.45,2026-03-20,2026-03-25,1531.8,Delivered
SHP00076,Healthians,Kolkata,Ahmedabad,NFO,11.62,2026-03-20,2026-03-24,966.85,Delivered
SHP00077,CORE Diagnostics,Lucknow,Pune,NFO,18.6,2026-03-12,,1630.26,In Transit
SHP00078,Redcliffe Labs,Bengaluru,Gurugram,NFO,9.34,2026-03-19,2026-03-26,739.63,Delayed
SHP00079,Pathkind Labs,Delhi,Gurugram,NFO,23.63,2026-06-13,2026-06-17,2095.95,Delivered
SHP00080,Oncquest Labs,Hyderabad,Pune,NFO,24.15,2026-03-06,2026-03-10,2053.11,Delivered
SHP00081,CryoViva India,Gurugram,Chandigarh,NFO,20.37,2026-03-19,2026-03-22,1820.76,Delivered
SHP00082,Pathkind Labs,Ahmedabad,Mumbai,NFO,22.76,2026-03-18,2026-03-23,2041.5,Delivered
SHP00083,Redcliffe Labs,Ahmedabad,Gurugram,HC GOLD,6.98,2026-01-21,2026-01-24,786.62,Delivered
SHP00084,Dr Lal PathLabs,Kolkata,Pune,NFO,1.3,2026-03-15,2026-03-23,101.42,Delayed
SHP00085,Dr Lal PathLabs,Mumbai,Chennai,HC GOLD,23.37,2026-04-19,2026-04-23,2978.02,Delayed
SHP00086,Tata 1mg,Bengaluru,Noida,NFO,19.92,2026-06-02,2026-06-07,1722.28,Delivered
SHP00087,Metropolis Healthcare,Bengaluru,Hyderabad,HC GOLD,12.6,2026-01-21,2026-01-26,1638.45,Delivered
SHP00088,CryoViva India,Ahmedabad,Bengaluru,NFO,24.07,2026-05-28,2026-06-02,2185.22,Delivered
SHP00089,CryoViva India,Bengaluru,Chandigarh,HC GOLD,4.79,2026-05-13,2026-05-20,579.96,Delivered
SHP00090,Oncquest Labs,Hyderabad,Gurugram,NFO,8.67,2026-06-21,,692.88,In Transit
SHP00091,Metropolis Healthcare,Kolkata,Pune,HC GOLD,10.31,2026-05-21,2026-05-24,1213.47,Delivered
SHP00092,CryoViva India,Kolkata,Ahmedabad,HC GOLD,13.79,2026-04-16,2026-04-17,1746.9,Delivered
SHP00093,Oncquest Labs,Hyderabad,Lucknow,HC GOLD,5.49,2026-05-21,2026-05-23,707.92,Delivered
SHP00094,Dr Lal PathLabs,Gurugram,Delhi,HC GOLD,17.89,2026-03-21,2026-03-26,1982.15,Delivered
SHP00095,Tata 1mg,Gurugram,Pune,HC GOLD,4.27,2026-03-16,2026-03-25,514.38,Delayed
SHP00096,Redcliffe Labs,Hyderabad,Pune,NFO,4.04,2026-02-18,2026-02-26,383.24,Delayed
SHP00097,Healthians,Bengaluru,Hyderabad,HC SILVER,12.94,2026-01-01,2026-01-08,1363.75,Delayed
SHP00098,Oncquest Labs,Ahmedabad,Lucknow,HC SILVER,11.44,2026-05-04,2026-05-07,1125.77,Delivered
SHP00099,Redcliffe Labs,Hyderabad,Chennai,HC SILVER,6.35,2026-04-09,,659.89,In Transit
SHP00100,Oncquest Labs,Delhi,Kolkata,HC GOLD,20.38,2026-04-09,2026-04-11,2278.23,Delivered
SHP00101,Tata 1mg,Ahmedabad,Chennai,HC SILVER,11.29,2026-05-15,2026-05-19,1075.23,Delivered
SHP00102,Tata 1mg,Chandigarh,Noida,NFO,24.25,2026-03-28,2026-04-07,2189.99,Delayed
SHP00103,Pathkind Labs,Chennai,Lucknow,NFO,8.26,2026-05-05,2026-05-10,673.1,Delivered
SHP00104,Redcliffe Labs,Chandigarh,Bengaluru,HC GOLD,11.13,2026-01-26,2026-01-29,1503.69,Delivered
SHP00105,CryoViva India,Delhi,Kolkata,NFO,9.68,2026-02-07,2026-02-14,856.93,Delayed
SHP00106,CORE Diagnostics,Noida,Mumbai,NFO,21.84,2026-06-08,2026-06-10,1737.18,Delivered
SHP00107,Metropolis Healthcare,Hyderabad,Lucknow,NFO,16.84,2026-04-30,2026-05-09,1344.79,Delayed
SHP00108,Dr Lal PathLabs,Hyderabad,Chennai,NFO,24.07,2026-06-26,2026-06-29,1943.25,Delivered
SHP00109,Tata 1mg,Kolkata,Pune,NFO,14.51,2026-05-28,2026-06-04,1116.78,Delayed
SHP00110,Metropolis Healthcare,Chandigarh,Kolkata,NFO,21.69,2026-01-13,2026-01-23,2043.15,Delayed
SHP00111,Dr Lal PathLabs,Bengaluru,Mumbai,HC SILVER,5.87,2026-02-18,2026-02-23,602.39,Delivered
SHP00112,CORE Diagnostics,Chandigarh,Lucknow,HC GOLD,22.63,2026-06-15,2026-06-16,2466.69,Delivered
SHP00113,Tata 1mg,Chennai,Noida,HC SILVER,8.5,2026-04-17,2026-04-22,903.69,Delivered
SHP00114,Pathkind Labs,Chennai,Ahmedabad,HC SILVER,20.85,2026-03-07,,1928.83,In Transit
SHP00115,Oncquest Labs,Chennai,Gurugram,HC SILVER,3.95,2026-02-27,,413.21,In Transit
SHP00116,Suraksha Diagnostics,Chennai,Gurugram,NFO,13.65,2026-04-27,2026-05-04,1213.78,Delayed
SHP00117,Tata 1mg,Chandigarh,Chennai,HC GOLD,12.05,2026-06-08,2026-06-13,1381.42,Delivered
SHP00118,Oncquest Labs,Gurugram,Lucknow,HC SILVER,7.9,2026-04-15,2026-04-17,732.56,Delivered
SHP00119,Tata 1mg,Hyderabad,Gurugram,NFO,13.67,2026-04-10,2026-04-14,1261.63,Delivered
SHP00120,Dr Lal PathLabs,Pune,Kolkata,HC GOLD,4.29,2026-04-17,,526.3,In Transit
SHP00121,CryoViva India,Kolkata,Bengaluru,HC GOLD,5.82,2026-04-24,,691.88,In Transit
SHP00122,Pathkind Labs,Chandigarh,Chennai,HC SILVER,16.3,2026-01-16,2026-01-21,1761.04,Delivered
SHP00123,Redcliffe Labs,Hyderabad,Gurugram,HC GOLD,15.13,2026-01-06,,1785.42,In Transit
SHP00124,Redcliffe Labs,Noida,Chandigarh,NFO,19.25,2026-02-23,2026-02-28,1567.94,Delivered
SHP00125,CryoViva India,Noida,Chandigarh,NFO,24.61,2026-02-03,2026-02-08,1940.15,Delivered
SHP00126,CryoViva India,Delhi,Mumbai,NFO,19.82,2026-05-31,2026-06-04,1569.62,Delivered
SHP00127,Tata 1mg,Kolkata,Ahmedabad,HC GOLD,12.17,2026-04-03,2026-04-10,1479.39,Delayed
SHP00128,CryoViva India,Mumbai,Chandigarh,HC GOLD,22.76,2026-06-18,2026-06-23,3116.32,Delivered
SHP00129,Suraksha Diagnostics,Delhi,Pune,NFO,3.15,2026-04-24,2026-04-25,250.9,Delivered
SHP00130,Dr Lal PathLabs,Noida,Chennai,HC GOLD,13.93,2026-03-25,2026-04-04,1627.68,Delayed
SHP00131,Suraksha Diagnostics,Pune,Chandigarh,NFO,17.69,2026-06-17,2026-06-25,1514.95,Delayed
SHP00132,Healthians,Mumbai,Hyderabad,HC SILVER,10.27,2026-01-25,2026-01-28,940.26,Delivered
SHP00133,Oncquest Labs,Noida,Lucknow,NFO,20.88,2026-01-24,2026-01-28,1762.66,Delivered
SHP00134,CryoViva India,Noida,Ahmedabad,HC GOLD,14.26,2026-03-26,2026-03-27,1824.71,Delivered
SHP00135,Metropolis Healthcare,Kolkata,Delhi,HC GOLD,9.12,2026-05-28,2026-06-04,1046.31,Delivered
SHP00136,Pathkind Labs,Gurugram,Kolkata,NFO,19.18,2026-05-27,,1642.17,In Transit
SHP00137,Dr Lal PathLabs,Pune,Chandigarh,HC GOLD,14.14,2026-06-05,2026-06-11,1850.53,Delivered
SHP00138,CryoViva India,Chennai,Kolkata,NFO,4.01,2026-06-18,2026-06-25,389.58,Delivered
SHP00139,Redcliffe Labs,Gurugram,Ahmedabad,NFO,11.61,2026-02-10,2026-02-13,1079.82,Delivered
SHP00140,Tata 1mg,Ahmedabad,Chandigarh,HC SILVER,4.31,2026-06-08,2026-06-11,396.36,Delayed
SHP00141,Oncquest Labs,Chandigarh,Kolkata,HC GOLD,10.65,2026-02-25,2026-03-02,1185.63,Delivered
SHP00142,Dr Lal PathLabs,Chandigarh,Lucknow,NFO,16.84,2026-01-12,2026-01-14,1307.86,Delivered
SHP00143,Redcliffe Labs,Mumbai,Chennai,HC GOLD,19.22,2026-03-16,2026-03-22,2324.08,Delivered
SHP00144,Pathkind Labs,Noida,Hyderabad,HC GOLD,12.76,2026-06-21,2026-06-24,1662.13,Delivered
SHP00145,Oncquest Labs,Kolkata,Delhi,HC SILVER,21.62,2026-05-28,2026-06-06,2212.82,Delayed
SHP00146,Tata 1mg,Kolkata,Bengaluru,NFO,24.17,2026-02-13,2026-02-18,2321.41,Delivered
SHP00147,Tata 1mg,Gurugram,Hyderabad,NFO,14.93,2026-05-15,2026-05-16,1378.76,Delivered
SHP00148,CORE Diagnostics,Mumbai,Kolkata,NFO,16.01,2026-05-16,2026-05-21,1343.63,Delivered
SHP00149,CORE Diagnostics,Lucknow,Chandigarh,NFO,4.09,2026-02-20,2026-02-25,378.96,Delayed
SHP00150,CORE Diagnostics,Chandigarh,Gurugram,HC SILVER,15.88,2026-04-29,,1576.29,In Transit
SHP00151,Dr Lal PathLabs,Chandigarh,Ahmedabad,NFO,24.29,2026-03-22,2026-03-26,2184.08,Delivered
SHP00152,CryoViva India,Bengaluru,Chandigarh,NFO,2.32,2026-04-29,2026-05-05,181.26,Delivered
SHP00153,Dr Lal PathLabs,Gurugram,Chandigarh,HC GOLD,11.84,2026-05-22,2026-05-23,1481.77,Delivered
SHP00154,Dr Lal PathLabs,Mumbai,Kolkata,NFO,4.2,2026-01-16,2026-01-20,396.04,Delivered
SHP00155,Pathkind Labs,Lucknow,Gurugram,HC GOLD,1.46,2026-04-23,2026-05-03,184.39,Delayed
SHP00156,Metropolis Healthcare,Chennai,Kolkata,NFO,19.47,2026-06-23,2026-06-28,1757.27,Delivered
SHP00157,Tata 1mg,Gurugram,Kolkata,HC GOLD,9.97,2026-03-06,,1121.74,In Transit
SHP00158,CORE Diagnostics,Gurugram,Chandigarh,HC SILVER,8.1,2026-06-17,2026-06-21,873.0,Delivered
SHP00159,Suraksha Diagnostics,Bengaluru,Ahmedabad,HC GOLD,8.55,2026-02-02,2026-02-07,1032.0,Delivered
SHP00160,Healthians,Chennai,Delhi,NFO,23.8,2026-03-29,2026-04-03,1899.06,Delivered
SHP00161,Pathkind Labs,Bengaluru,Gurugram,HC GOLD,20.96,2026-05-15,2026-05-20,2814.76,Delayed
SHP00162,Dr Lal PathLabs,Ahmedabad,Noida,NFO,4.48,2026-06-27,,428.65,In Transit
SHP00163,CryoViva India,Lucknow,Hyderabad,NFO,17.07,2026-03-02,2026-03-10,1578.78,Delayed
SHP00164,Pathkind Labs,Hyderabad,Mumbai,NFO,24.16,2026-05-01,2026-05-03,2141.09,Delivered
SHP00165,Metropolis Healthcare,Hyderabad,Pune,HC GOLD,12.82,2026-04-18,,1461.36,In Transit
SHP00166,Metropolis Healthcare,Ahmedabad,Noida,NFO,12.27,2026-04-06,2026-04-11,1073.17,Delivered
SHP00167,Tata 1mg,Gurugram,Chennai,HC GOLD,7.18,2026-05-12,,869.67,In Transit
SHP00168,Healthians,Mumbai,Pune,HC SILVER,10.66,2026-04-12,2026-04-18,1006.35,Delivered
SHP00169,Tata 1mg,Delhi,Kolkata,HC SILVER,16.42,2026-02-07,2026-02-09,1727.5,Delivered
SHP00170,Oncquest Labs,Lucknow,Noida,NFO,0.63,2026-01-21,2026-01-23,55.54,Delivered
SHP00171,Pathkind Labs,Lucknow,Ahmedabad,NFO,19.52,2026-03-02,2026-03-07,1758.32,Delivered
SHP00172,Tata 1mg,Ahmedabad,Hyderabad,NFO,22.68,2026-06-02,2026-06-07,2012.16,Delivered
SHP00173,Metropolis Healthcare,Lucknow,Noida,NFO,15.56,2026-03-03,2026-03-11,1218.65,Delivered
SHP00174,Pathkind Labs,Chennai,Gurugram,HC GOLD,19.77,2026-05-10,2026-05-15,2414.0,Delivered
SHP00175,Healthians,Chandigarh,Kolkata,NFO,0.9,2026-01-18,2026-01-21,80.87,Delivered
SHP00176,CORE Diagnostics,Ahmedabad,Chennai,NFO,13.88,2026-06-14,,1291.63,In Transit
SHP00177,CORE Diagnostics,Hyderabad,Pune,HC SILVER,2.05,2026-04-28,2026-04-30,218.4,Delivered
SHP00178,Pathkind Labs,Chennai,Bengaluru,NFO,20.48,2026-05-02,2026-05-05,1649.89,Delivered
SHP00179,Healthians,Chennai,Delhi,NFO,20.08,2026-04-22,2026-05-01,1917.86,Delayed
SHP00180,CORE Diagnostics,Kolkata,Chennai,NFO,12.69,2026-05-13,,993.06,In Transit
SHP00181,Suraksha Diagnostics,Kolkata,Gurugram,HC GOLD,20.65,2026-05-20,2026-05-25,2639.64,Delivered
SHP00182,Dr Lal PathLabs,Bengaluru,Pune,HC GOLD,4.58,2026-04-24,2026-04-29,579.12,Delivered
SHP00183,CryoViva India,Kolkata,Bengaluru,NFO,16.12,2026-04-04,,1490.06,In Transit
SHP00184,CORE Diagnostics,Noida,Delhi,HC SILVER,17.11,2026-04-23,2026-04-27,1611.77,Delivered
SHP00185,CryoViva India,Kolkata,Chandigarh,HC GOLD,17.14,2026-04-05,2026-04-08,2146.23,Delivered
SHP00186,Suraksha Diagnostics,Pune,Chennai,NFO,7.33,2026-01-30,2026-02-03,638.48,Delayed
SHP00187,Tata 1mg,Kolkata,Ahmedabad,NFO,6.88,2026-04-25,2026-05-01,627.78,Delayed
SHP00188,Tata 1mg,Hyderabad,Mumbai,NFO,2.31,2026-02-14,2026-02-18,224.21,Delivered
SHP00189,Healthians,Chennai,Lucknow,HC GOLD,13.97,2026-03-16,,1574.77,In Transit
SHP00190,CORE Diagnostics,Lucknow,Chandigarh,HC GOLD,12.96,2026-02-01,,1453.68,In Transit
SHP00191,Healthians,Hyderabad,Delhi,HC GOLD,9.54,2026-05-22,2026-05-26,1049.14,Delayed
SHP00192,Pathkind Labs,Kolkata,Pune,NFO,10.53,2026-05-28,2026-05-29,949.28,Delivered
SHP00193,Pathkind Labs,Hyderabad,Pune,NFO,22.01,2026-05-22,2026-05-27,1744.12,Delivered
SHP00194,Tata 1mg,Pune,Delhi,HC GOLD,7.95,2026-02-11,2026-02-17,941.13,Delayed
SHP00195,Tata 1mg,Pune,Bengaluru,NFO,16.06,2026-05-22,2026-05-25,1438.28,Delivered
SHP00196,CORE Diagnostics,Gurugram,Ahmedabad,HC GOLD,14.73,2026-02-13,2026-02-24,1740.03,Delayed
SHP00197,CryoViva India,Ahmedabad,Delhi,NFO,23.74,2026-05-28,2026-06-03,2203.02,Delayed
SHP00198,CryoViva India,Kolkata,Chandigarh,NFO,15.87,2026-03-16,2026-03-22,1351.0,Delivered
SHP00199,CryoViva India,Hyderabad,Gurugram,NFO,10.68,2026-04-29,2026-05-01,887.96,Delivered
SHP00200,Healthians,Lucknow,Chennai,HC SILVER,3.7,2026-04-05,2026-04-12,344.39,Delayed
SHP00201,Metropolis Healthcare,Hyderabad,Gurugram,NFO,3.95,2026-01-13,2026-01-16,337.27,Delivered
SHP00202,Dr Lal PathLabs,Noida,Kolkata,HC GOLD,5.15,2026-02-10,2026-02-19,633.26,Delayed
SHP00203,CryoViva India,Bengaluru,Pune,NFO,10.13,2026-04-28,2026-04-30,785.42,Delivered
SHP00204,Dr Lal PathLabs,Bengaluru,Pune,HC SILVER,16.53,2026-05-01,2026-05-06,1745.9,Delayed
SHP00205,Metropolis Healthcare,Kolkata,Noida,HC GOLD,19.21,2026-04-04,2026-04-08,2186.86,Delivered
SHP00206,Tata 1mg,Pune,Bengaluru,NFO,11.53,2026-05-21,,1124.38,In Transit
SHP00207,Tata 1mg,Chandigarh,Ahmedabad,NFO,2.87,2026-04-06,2026-04-13,265.6,Delayed
SHP00208,Pathkind Labs,Mumbai,Chandigarh,NFO,1.49,2026-01-10,2026-01-16,139.44,Delayed
SHP00209,CORE Diagnostics,Pune,Hyderabad,HC GOLD,13.13,2026-03-25,2026-04-02,1709.26,Delivered
SHP00210,Healthians,Bengaluru,Chandigarh,HC GOLD,12.99,2026-05-06,2026-05-11,1409.4,Delivered
SHP00211,Tata 1mg,Chennai,Lucknow,HC SILVER,14.8,2026-06-26,2026-07-02,1358.73,Delayed
SHP00212,Dr Lal PathLabs,Chandigarh,Ahmedabad,NFO,1.76,2026-05-03,2026-05-11,163.61,Delayed
SHP00213,Redcliffe Labs,Kolkata,Noida,NFO,23.73,2026-01-29,2026-01-31,2026.52,Delivered
SHP00214,Suraksha Diagnostics,Kolkata,Mumbai,HC GOLD,15.48,2026-05-01,2026-05-05,1912.72,Delayed
SHP00215,Oncquest Labs,Pune,Chennai,HC GOLD,8.19,2026-02-14,2026-02-22,1018.74,Delayed
SHP00216,Metropolis Healthcare,Chandigarh,Lucknow,HC GOLD,5.21,2026-03-05,2026-03-12,597.83,Delayed
SHP00217,Redcliffe Labs,Bengaluru,Chennai,HC GOLD,12.48,2026-05-03,2026-05-10,1455.59,Delayed
SHP00218,Pathkind Labs,Ahmedabad,Lucknow,NFO,24.51,2026-03-30,2026-04-04,1916.18,Delivered
SHP00219,Metropolis Healthcare,Hyderabad,Lucknow,HC GOLD,5.74,2026-05-18,2026-05-25,643.56,Delayed
SHP00220,Redcliffe Labs,Ahmedabad,Chandigarh,NFO,16.91,2026-05-16,2026-05-21,1312.48,Delayed
SHP00221,Oncquest Labs,Kolkata,Chennai,NFO,19.38,2026-01-02,2026-01-07,1867.64,Delivered
SHP00222,Redcliffe Labs,Hyderabad,Pune,HC GOLD,7.54,2026-03-15,,834.56,In Transit
SHP00223,Pathkind Labs,Ahmedabad,Mumbai,HC GOLD,21.33,2026-01-10,2026-01-12,2416.13,Delivered
SHP00224,Oncquest Labs,Delhi,Hyderabad,NFO,18.85,2026-03-16,2026-03-17,1683.48,Delivered
SHP00225,Oncquest Labs,Chennai,Bengaluru,HC SILVER,13.81,2026-05-07,,1346.13,In Transit
SHP00226,Tata 1mg,Bengaluru,Mumbai,NFO,18.41,2026-06-15,2026-06-21,1413.87,Delayed
SHP00227,Dr Lal PathLabs,Chennai,Bengaluru,HC GOLD,5.23,2026-06-06,,631.95,In Transit
SHP00228,Suraksha Diagnostics,Chennai,Gurugram,HC GOLD,5.03,2026-02-05,2026-02-09,544.27,Delivered
SHP00229,Oncquest Labs,Kolkata,Mumbai,HC GOLD,23.87,2026-03-19,2026-03-30,2586.15,Delayed
SHP00230,Redcliffe Labs,Chandigarh,Chennai,NFO,3.4,2026-03-20,2026-03-22,326.79,Delivered
SHP00231,Tata 1mg,Lucknow,Bengaluru,HC GOLD,23.55,2026-04-05,2026-04-11,2881.24,Delivered
SHP00232,Healthians,Hyderabad,Chandigarh,NFO,13.96,2026-05-01,,1264.94,In Transit
SHP00233,Dr Lal PathLabs,Mumbai,Bengaluru,HC SILVER,2.51,2026-04-25,2026-05-04,219.26,Delayed
SHP00234,CryoViva India,Ahmedabad,Gurugram,HC SILVER,22.62,2026-02-21,2026-03-01,2022.4,Delayed
